Model,MAE,RMSE,R2 Score
Linear Regression,0.3147909104085784,0.41284264393703723,0.5875637758737149
Random Forest,0.2879082569892369,0.3846998168705254,0.6418774568219598
Gradient Boosting,0.30057555834840616,0.3956990954009145,0.6211059235383185
